Date,Withdrawls,Deposits,UPI
1/20/2023,94,,yes
1/20/2023,60,,yes
1/21/2023,"2,000.00",,no
1/21/2023,21,,no
1/21/2023,3.78,,no
1/21/2023,190,,yes
1/22/2023,18,,yes
1/22/2023,200,,yes
1/22/2023,150,,yes
1/23/2023,18,,yes
1/23/2023,260,,yes
1/23/2023,440,,yes
1/23/2023,240,,yes
1/23/2023,100,,yes
1/24/2023,"2,000.00",,no
1/24/2023,21,,no
1/24/2023,3.78,,no
1/24/2023,18,,yes
1/24/2023,220,,yes
1/24/2023,40,,yes
1/24/2023,50,,yes
1/25/2023,200,,yes
1/25/2023,"2,000.00",,no
1/25/2023,21,,no
1/25/2023,3.78,,no
1/26/2023,20,,yes
1/26/2023,350,,yes
1/26/2023,20,,yes
1/26/2023,400,,yes
1/27/2023,"1,000.00",,no
1/27/2023,21,,no
1/27/2023,3.78,,no
1/27/2023,175,,yes
1/27/2023,100,,yes
1/28/2023,18,,yes
1/28/2023,,150,no
1/28/2023,100,,yes
1/28/2023,10,,yes
1/28/2023,100,,yes
1/28/2023,22,,yes
1/29/2023,100,,yes
1/29/2023,"14,000.00",,yes
1/29/2023,10,,yes
1/29/2023,"1,097.00",,no
1/31/2023,149,,yes
1/31/2023,75,,yes
1/31/2023,370,,yes
1/31/2023,80,,yes
2/1/2023,200,,yes
2/1/2023,,120,no
2/3/2023,30,,yes
2/3/2023,51,,yes
2/4/2023,335,,yes
2/4/2023,,335,no
2/4/2023,335,,yes
2/4/2023,100,,yes
2/4/2023,235,,yes
2/4/2023,,100,no
2/4/2023,,100,no
2/4/2023,50,,yes
2/4/2023,50,,yes
2/4/2023,149,,yes
2/4/2023,92,,yes
2/4/2023,,47,no
2/5/2023,"1,827.00",,yes
2/6/2023,149,,yes
2/6/2023,10,,yes
2/6/2023,300,,yes
2/6/2023,500,,yes
2/6/2023,400,,yes
2/6/2023,65,,yes
2/6/2023,799,,no
2/6/2023,688,,no
2/6/2023,850,,no
2/6/2023,629,,no
2/6/2023,565,,no
2/7/2023,,"150,000.00",no
2/8/2023,50,,yes
2/8/2023,200,,yes
2/9/2023,55,,yes
2/9/2023,185,,yes
2/10/2023,"5,000.00",0,no
2/10/2023,,200,no
2/10/2023,518,,no
2/11/2023,800,,yes
2/11/2023,50,,yes
2/14/2023,20,,yes
2/15/2023,"5,000.00",,no
2/15/2023,"10,000.00",,no
2/17/2023,40,,yes
2/17/2023,50,,yes
2/17/2023,40,,yes
2/17/2023,120,,yes
2/17/2023,105,,yes
2/17/2023,45,,yes
2/18/2023,810,,no
2/18/2023,699,,no
2/18/2023,320,,yes
2/18/2023,80,,yes
2/19/2023,60,,yes
2/20/2023,50,,yes
2/20/2023,"18,250.00",,no
2/20/2023,"18,250.00",,no
2/20/2023,150,,yes
2/20/2023,100,,yes
2/22/2023,30,,yes
2/22/2023,150,,yes
2/23/2023,"1,000.00",,yes
2/23/2023,"5,000.00",,no
2/23/2023,21,,no
2/23/2023,3.78,,no
2/24/2023,170,,yes
2/24/2023,100,,yes
2/25/2023,150,,yes
2/25/2023,100,,yes
2/25/2023,115,,yes
2/25/2023,50,,yes
2/25/2023,112,,yes
2/25/2023,,370,no
2/27/2023,,"9,467.79",no
2/27/2023,150,,yes
2/27/2023,"5,000.00",,no
2/27/2023,21,,no
2/27/2023,3.78,,no
2/27/2023,100,,yes
2/27/2023,380,,yes
2/27/2023,50,,yes
2/27/2023,320,,no
2/27/2023,"9,000.00",,yes
2/28/2023,380,,yes
3/1/2023,"5,000.00",,no
3/1/2023,80,,no
3/1/2023,50,,yes
3/2/2023,50,,yes
3/2/2023,"2,000.00",,yes
3/3/2023,100,,yes
3/3/2023,190,,yes
3/3/2023,"1,000.00",,yes
3/3/2023,100,,yes
3/3/2023,150,,yes
3/4/2023,200,,yes
3/5/2023,160,,yes
3/5/2023,,160,no
3/6/2023,"10,000.00",,no
3/6/2023,130,,yes
3/6/2023,602,,yes
3/8/2023,489,,yes
3/9/2023,40,,yes
3/9/2023,155,,yes
3/10/2023,320,,yes
3/11/2023,150,,yes
3/11/2023,500,,yes
3/11/2023,"2,638.00",,yes
3/11/2023,320,,yes
3/11/2023,100,,yes
3/11/2023,60,,yes
3/12/2023,713,,no
3/12/2023,290,,yes
3/13/2023,36,,yes
3/13/2023,250,,yes
3/13/2023,"2,907.86",,no
3/14/2023,"1,120.00",,no
3/13/2023,"1,097.00",,no
3/13/2023,375,,yes
3/14/2023,897,,yes
3/14/2023,100,,yes
3/14/2023,100,,yes
3/15/2023,210,,yes
3/15/2023,150,,yes
3/16/2023,"3,000.00",,no
3/16/2023,24,,no
3/17/2023,135,,yes
3/17/2023,520,,yes
3/17/2023,"1,043.00",,yes
3/17/2023,132,,yes
3/17/2023,"15,000.00",,yes
3/17/2023,150.5,,yes
3/19/2023,71,,yes
3/20/2023,149,,yes
3/20/2023,100,,yes
3/20/2023,60,,yes
3/20/2023,320,,yes
3/21/2023,150,,yes
3/22/2023,17.7,,no
3/22/2023,150.5,,yes
3/23/2023,110,,yes
3/23/2023,60,,yes
3/31/2023,"1,846.50",,yes
3/31/2023,60,,yes
3/31/2023,100,,yes
